exchange,symbol,open,close,high,low,amount,volume,position,bob,eob,type
CFFEX,IC9999,5643.8,5688.8,5706.0,5641.4,43986326000.0,38714,98287,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IC9998,5453.2,5500.4,5518.0,5453.2,12693204680.0,11550,63498,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IC2506,5643.8,5688.8,5706.0,5641.4,43986326000.0,38714,98287,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IC2507,5577.6,5619.0,5635.8,5573.6,3408289120.0,3037,9966,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IC2509,5453.2,5500.4,5518.0,5453.2,12693204680.0,11550,63498,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IC2512,5339.8,5371.6,5387.4,5332.8,5139216040.0,4789,34625,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IF9999,3829.6,3842.4,3855.6,3827.2,54768803280.0,47487,116411,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IF9998,3755.0,3769.4,3782.2,3755.0,16643140800.0,14710,80180,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IF2506,3829.6,3842.4,3855.6,3827.2,54768803280.0,47487,116411,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IF2507,3789.0,3803.2,3818.0,3789.0,4157891880.0,3641,13559,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IF2509,3755.0,3769.4,3782.2,3755.0,16643140800.0,14710,80180,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IF2512,3722.0,3730.2,3743.0,3719.4,4463760480.0,3986,19298,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IH9999,2668.2,2673.6,2685.0,2667.0,17898856680.0,22289,47017,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IH9998,2628.2,2637.4,2648.0,2628.2,5296635000.0,6687,23701,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IH2506,2668.2,2673.6,2685.0,2667.0,17898856680.0,22289,47017,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IH2507,2638.2,2643.4,2653.6,2637.8,1211304240.0,1526,3383,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IH2509,2628.2,2637.4,2648.0,2628.2,5296635000.0,6687,23701,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IH2512,2633.0,2637.6,2647.4,2632.6,1112756940.0,1405,4705,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IM9999,6007.6,6054.0,6067.0,5992.0,121760923720.0,100779,161713,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IM9998,5749.8,5796.6,5810.8,5739.8,37442700320.0,32368,89186,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IM2506,6007.6,6054.0,6067.0,5992.0,121760923720.0,100779,161713,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IM2507,5915.0,5962.8,5975.2,5901.2,7551577720.0,6346,15374,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IM2509,5749.8,5796.6,5810.8,5739.8,37442700320.0,32368,89186,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,IM2512,5569.0,5616.0,5633.0,5560.2,13467054560.0,12012,49216,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,T9999,108.72,108.765,108.775,108.62,60552974950.0,55709,170547,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,T9998,108.75,108.805,108.83,108.665,5422371200.0,4987,18217,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,T2506,108.52,108.52,108.52,108.44,200687150.0,185,6224,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,T2509,108.72,108.765,108.775,108.62,60552974950.0,55709,170547,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,T2512,108.75,108.805,108.83,108.665,5422371200.0,4987,18217,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TF9999,105.99,106.035,106.06,105.935,48754143100.0,46001,139957,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TF9998,106.085,106.1,106.14,106.02,5531051000.0,5215,16896,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TF2506,105.73,105.75,105.75,105.655,780046850.0,738,8090,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TF2509,105.99,106.035,106.06,105.935,48754143100.0,46001,139957,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TF2512,106.085,106.1,106.14,106.02,5531051000.0,5215,16896,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TL9999,119.62,119.57,119.69,119.29,83932717700.0,70260,94314,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TL9998,119.46,119.4,119.54,119.16,5024466300.0,4211,18317,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TL2506,118.79,118.82,118.92,118.71,184151300.0,155,2093,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TL2509,119.62,119.57,119.69,119.29,83932717700.0,70260,94314,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TL2512,119.46,119.4,119.54,119.16,5024466300.0,4211,18317,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TS9999,102.372,102.396,102.416,102.36,63887952040.0,31202,114335,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TS9998,102.528,102.538,102.538,102.5,1962158280.0,957,3946,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TS2506,102.224,102.248,102.262,102.216,1901573720.0,930,1683,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TS2509,102.372,102.396,102.416,102.36,63887952040.0,31202,114335,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CFFEX,TS2512,102.528,102.538,102.538,102.5,1962158280.0,957,3946,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,AP9999,7670.0,7750.0,7765.0,7604.0,7950100000.0,103397,110064,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,AP9998,7519.0,7621.0,7644.0,7514.0,249217700.0,3287,9145,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,AP2510,7670.0,7750.0,7765.0,7604.0,7950100000.0,103397,110064,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,AP2511,7531.0,7604.0,7616.0,7470.0,18126700.0,240,4832,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,AP2512,7565.0,7597.0,7629.0,7500.0,3480800.0,46,193,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,AP2601,7519.0,7621.0,7644.0,7514.0,249217700.0,3287,9145,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,AP2603,7592.0,7650.0,7650.0,7552.0,1139400.0,15,131,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,AP2604,7642.0,7720.0,7720.0,7642.0,537800.0,7,68,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,AP2605,7723.0,7754.0,7777.0,7683.0,5328100.0,69,100,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CF9999,13270.0,13265.0,13290.0,13200.0,11615080900.0,175395,525386,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CF9998,13320.0,13320.0,13335.0,13260.0,2009393300.0,30223,131320,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CF2507,13035.0,13045.0,13060.0,12970.0,1029790400.0,15828,38521,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CF2509,13270.0,13265.0,13290.0,13200.0,11615080900.0,175395,525386,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CF2511,13255.0,13255.0,13270.0,13195.0,932015100.0,14089,23226,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CF2601,13320.0,13320.0,13335.0,13260.0,2009393300.0,30223,131320,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CF2603,13285.0,13310.0,13315.0,13260.0,20138500.0,303,2223,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CF2605,13345.0,13305.0,13345.0,13275.0,57088100.0,858,1908,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CJ9999,8660.0,8810.0,8840.0,8630.0,2772317500.0,63479,82027,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CJ9998,9390.0,9620.0,9690.0,9360.0,1107733800.0,23223,26594,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CJ2507,8475.0,8630.0,8655.0,8460.0,29237600.0,684,2717,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CJ2509,8660.0,8810.0,8840.0,8630.0,2772317500.0,63479,82027,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CJ2512,9345.0,9585.0,9635.0,9315.0,73373800.0,1551,3630,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CJ2601,9390.0,9620.0,9690.0,9360.0,1107733800.0,23223,26594,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CJ2603,9510.0,9785.0,9830.0,9510.0,38655000.0,798,1352,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
CZCE,CJ2605,9685.0,9920.0,9985.0,9685.0,69851000.0,1415,2117,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
